Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Frontal Offset Deformable Barrier,Whiplash Rear Impact,AEB City,Lateral Impact,18 months old child,36 months old child,VRU Impact Protection,Crash Test Performance,Safety Features,CRS Installation Check,Speed Assistance,Electronic Stability Control,Seatbelt Reminder,Lane Support,AEB Inter-Urban,Head Impact,Pelvis Impact,Leg Impact,rating,Frontal Full Width,Frontal Impact,Lateral Impact.1,Crash Test Performance based on 6 & 10 year old children,AEB Pedestrian,Safety Pack Name,VRU Impact Mitigation,AEB Cyclist,Rear Impact,Frontal Impact.1,Rescue and Extrication,Occupant Status Monitoring,AEB Car-to-Car,Rescue and Extrication.1,Crash Test Performance based on 6 & 10 year old children.1,Safety Features.1,CRS Installation Check.1,Pedestrian & Cyclist Head,Pelvis,Femur,Knee & Tibia
"Citroën C3 1,2 PureTech 82 FEEL, LHD",- 5 door hatchback,2017,1072kg,- all C3s,City and Supermini,7.5,2.7,0.0,15.8,,,,,7.0,12.0,2.5,,3.0,1.5,0,13.0,6.0,6.0,4,7.5,14,8,22.0,0.0,,,,,,,,,,,,,,,,
"Ford Ka+ 1.2, LHD",- 5 door hatchback,2017,1059kg,- all Ka+,City and Supermini,6,2.1,0.0,16.0,,,,,5.0,9.7,1.5,,2.0,0,0,15.8,2.5,6.0,3,3.7,7.4,8,15.4,0.0,,,,,,,,,,,,,,,,
"Land Rover Discovery, 2.0 diesel HSE, RHD",- 5 door SUV,2017,2390kg,- all Discoverys,Large SUV,6.9,1.6,2.9,15.5,,,,,7.0,10.8,1.5,,3.0,1.7,2.6,15.5,4.1,6.0,5,7.3,13.6,8,21.6,6.0,,,,,,,,,,,,,,,,
"Peugeot 3008 1,6l Hdi Active",- 5 door SUV,2016,1300kg,- all 3008s (including 3008 Hybrid4) and 5008s,Small SUV,7,2.5,0.0,15.9,,,,,8.0,12.0,2.5,,3.0,1.5,0,16.2,6.0,6.0,5,7.5,14,8,22.0,0.0,,,,,,,,,,,,,,,,
"BMW 520d, LHD",- 4 door saloon,2017,1560kg,- all 4 cylinder BMW 5 Series,Executive Car,6.3,2.7,3.0,15.8,,,,,7.0,12.0,1.5,,3.0,0,2.6,22.7,0.0,6.0,5,7,15,8,23.0,5.3,,,,,,,,,,,,,,,,
Fiat Doblo' 1.6 mjt EASY,- 5 door MPV,2017,1580kg,- ZFA26300006G11882,Small MPV,6.1,1.0,0.0,16.0,,,,,2.0,2.5,0,,3.0,0,0,12.9,5.5,5.6,3,5.8,10.4,8,18.4,0.0,,,,,,,,,,,,,,,,
"MINI Countryman Cooper D, RHD",- 5 door MPV,2017,1430kg,"- all Countryman, including PHEV",Small MPV,6.8,2.4,2.0,16.0,,,,,5.0,11.5,1.5,,3.0,0,1.7,19.9,1.3,6.0,5,7.1,14.8,8,22.8,0.0,,,,,,,,,,,,,,,,
"Nissan Micra 0.9 Acenta, LHD",- 5 door hatchback,2017,1072kg,- all Micras of the specification tested,City and Supermini,7.8,1.6,2.8,15.5,,,,,8.0,12.0,1.5,,3.0,0,1.5,16.8,6.0,6.0,4,6.9,11.1,8,19.1,0.0,,,,,,,,,,,,,,,,
"Nissan Micra 0.9 Acenta, LHD",- 5 door hatchback,2017,1072kg,"- all Micras of the specification tested, with safety pack",City and Supermini,7.8,1.6,2.8,15.5,,,,,8.0,12.0,1.5,,3.0,2.7,1.5,16.8,6.0,6.0,5,6.9,11.1,8,19.1,4.6,EuroNCAP 5* pack,,,,,,,,,,,,,,,
"Škoda Kodiaq 2.0 TDI ""Ambition"", LHD",- 5 door SUV,2017,1653kg,- all Kodiaqs of the specification tested,Large SUV,7.1,2.4,2.5,16.0,,,,,6.0,10.7,1.3,,2.6,0,2.7,15.7,4.4,6.0,5,7.3,13.5,8,21.5,4.0,,,,,,,,,,,,,,,,
"Suzuki Swift 1.2L GL, RHD",- 5 door hatchback,2017,855kg,- all Swifts,City and Supermini,6.7,1.7,0.0,16.0,,,,,7.0,12.0,0,,3.0,0,0,18.5,4.9,6.0,3,7.1,10.9,7,17.9,0.0,,,,,,,,,,,,,,,,
"Suzuki Swift 1.2L GL, RHD",- 5 door hatchback,2017,855kg,- all Swifts with 'Radar Brake Support',City and Supermini,6.7,1.7,2.0,16.0,,,,,7.0,12.0,0,,3.0,0,2.4,18.5,4.9,6.0,4,7.1,10.9,7,17.9,0.0,Radar Brake Support,,,,,,,,,,,,,,,
Insignia Grand Sport 1.6CDTi Edition,- 5 door hatchback,2017,1460kg,- All Insignias,Large Family Car,7.1,2.1,2.8,16.0,,,,,7.0,12.0,1.3,,2.0,2.9,2.2,19.5,3.6,5.5,5,7.5,15,8,23.0,4.2,,,,,,,,,,,,,,,,
"VW Arteon 2,0 TDI 110kW, LHD",- 5 door hatchback,2017,1625kg,"- all Arteons, including Shooting Brake",Executive Car,7.9,2.3,3.0,15.9,,,,,7.0,12.0,1.5,,3.0,2.7,2.7,19.0,6.0,6.0,5,7.7,15,8,23.0,5.1,,,,,,,,,,,,,,,,
"Hyundai i30 1.6CRDi GLS Comfort, LHD",- 5 door hatchback,2017,1412kg,- all i30s,Small Family Car,6.4,2.0,2.4,15.1,,,,,7.0,12.0,1.3,,3.0,2.7,1.3,15.3,5.8,6.0,5,7.5,14.6,8,22.6,0.0,,,,,,,,,,,,,,,,
"SEAT Ibiza1.0 'Style',LHD",- 5 door hatchback,2017,1047kg,- all Ibizas,City and Supermini,7.5,2.3,3.0,15.6,,,,,7.0,12.0,1.5,,3.0,0,2.8,16.0,4.8,6.0,5,7.7,11.8,7,18.8,5.2,,,,,,,,,,,,,,,,
"Alfa Romeo Stelvio 2.2 diesel 'Super', 4x4, LHD",- 5 door SUV,2017,1745kg,- all Stelvios,Large SUV,7.8,2.4,3.0,16.0,,,,,7.0,12.0,0.0,,3.0,1.5,2.8,14.9,3.4,6.0,5,7.8,14.6,8,22.6,5.9,,,,,,,,,,,,,,,,
"Honda Civic 1.0 SE, RHD",- 5 door hatchback,2017,1292kg,- all Civics of the specification tested,Small Family Car,7.1,1.7,3.0,16.0,,,,,6.0,11.3,2.3,,3.0,2.7,2.7,15.0,6.0,6.0,4,7.2,11.7,4,15.7,4.6,,,,,,,,,,,,,,,,
"Ford Mustang 5.0 Fastback, LHD",- 2 door coupe,2017,1768kg,- all 2018 model year Mustang Fastbacks,Roadster sports,6.9,1.2,0.0,14.9,,,,,0.0,2.2,0,,2.0,2.7,2.7,21.0,0.0,6.0,3,4.7,9.6,4,13.6,5.8,,,,,,,,,,,,,,,,
Mazda CX-5 Sports-Line,- 5 door SUV,2017,1645kg,- all CX-5s,Small SUV,7.4,2.6,3.0,16.0,,,,,8.0,10.5,1.5,,3.0,0,2.6,18.9,2.0,6.0,5,7.5,12.9,8,20.9,5.9,,,,,,,,,,,,,,,,
Ford Fiesta,- 5 door hatchback,2017,1150kg,- all Fiestas,City and Supermini,7.7,2.7,0.0,15.5,,,,,7.0,12.0,1.5,,3.0,2.7,0,15.0,6.0,6.0,5,7.3,14.3,8,22.3,0.0,,,,,,,,,,,,,,,,
"Kia Picanto 1.0 GLS, LHD",- 5 door hatchback,2017,899kg,- all Picantos,City and Supermini,6.6,1.7,0.0,15.5,,,,,5.0,11.3,0,,3.0,0,0,13.8,3.0,6.0,3,6.5,8.9,6.4,15.3,0.0,,,,,,,,,,,,,,,,
"Kia Picanto 1.0 GLS, LHD",- 5 door hatchback,2017,899kg,- all Picantos with optional safety pack,City and Supermini,6.6,1.7,3.0,15.5,,,,,5.0,11.3,0,,3.0,0,2.7,13.8,3.0,6.0,4,6.5,8.9,6.4,15.3,0.0,Advanced Driving Assistance Pack,,,,,,,,,,,,,,,
"Kia Rio 1.2 GLS, LHD",- 5 door hatchback,2017,1040kg,- all Rios,Small Family Car,6.8,2.0,0.0,16.0,,,,,7.0,11.8,0,,3.0,0,0,14.0,6.0,6.0,3,7.6,14.4,8,22.4,0.0,,,,,,,,,,,,,,,,
"Kia Rio 1.2 GLS, LHD",- 5 door hatchback,2017,1040kg,- all Rios with optional safety pack,Small Family Car,6.8,2.0,3.0,16.0,,,,,7.0,11.8,0,,3.0,1.5,2.6,14.0,6.0,6.0,5,7.6,14.4,8,22.4,3.8,Advanced Driving Assistance Pack,,,,,,,,,,,,,,,
"Opel/Vauxhall Grandland X 1.6 diesel, LHD",- 5 door hatchback,2017,1412kg,- all Grandland X,Small SUV,6.8,2.6,0.0,15.3,,,,,8.0,12.0,2.5,,3.0,1.7,0,15.0,5.9,6.0,5,7.5,14.8,8,22.8,0.0,,,,,,,,,,,,,,,,
"Renault New Koleos 1.6dci, LHD",- 5 door SUV,2017,1623kg,- all Koleos variants,Large SUV,7,2.5,2.5,16.0,,,,,7.0,12.0,2.5,,3.0,1.8,1.8,15.0,5.1,6.0,5,6.5,11.9,8,19.9,0.0,,,,,,,,,,,,,,,,
"Opel Ampera-e, LHD",- 5 door hatchback,2017,1636kg,- all Ampera-e,Small Family Car,6.9,1.3,0.0,15.4,,,,,5.0,7.8,1.3,,2.0,2.9,2.5,15.1,6.0,6.0,4,7.8,15.3,8,23.3,4.4,,,,,,,,,,,,,,,,
"Mercedes-Benz C 220d Cabriolet, LHD",- 2 door Cabriolet,2017,1745kg,- all variants from WDD2054862F593831 except some 4x4,Large Family Car,7.9,1.6,2.8,14.5,,,,,8.0,11.5,1.5,,3.0,0,1.9,21.0,0.8,6.0,5,7.4,15.3,4,19.3,0.0,,,,,,,,,,,,,,,,
"Jeep Compass 4 x 4 Limited, 2.0, LHD",- 5 door SUV,2017,1575kg,- all Compass variants,Small SUV,7.5,2.7,2.8,14.0,,,,,7.0,12.0,1.5,,2.0,1.2,2.4,15.3,6.0,6.0,5,7.6,13.7,8,21.7,0.0,,,,,,,,,,,,,,,,
"Range Rover Velar 2.0 diesel 4x4, RHD",- 5 door SUV,2017,1928kg,- all Velars,Small SUV,7.4,1.9,2.9,16.0,,,,,7.0,12.0,1.3,,3.0,2.0,2.5,16.2,3.1,6.0,5,7.2,14.9,8,22.9,6.0,,,,,,,,,,,,,,,,
"VW Polo 1.0 TSI 'Comfortline', LHD",- 5 door hatchback,2017,1071kg,- all Polos,City and Supermini,7.6,2.4,3.0,16.0,,,,,7.0,12.0,1.5,,3.0,0,2.7,15.9,4.8,6.0,5,7.8,15,8,23.0,5.2,,,,,,,,,,,,,,,,
"Volkswagen T-Roc 1.0 TSI Comfortline, LHD",- 5 door SUV,2017,1250kg,- all T-Rocs,Small SUV,7.5,2.4,3.0,16.0,,,,,7.0,12.0,0,,3.0,2.7,2.8,17.3,4.4,6.0,5,7.7,16,8,24.0,5.8,,,,,,,,,,,,,,,,
"Skoda Karoq 1.6 diesel 'Ambition', LHD",- 5 door SUV,2017,1365kg,- all Karoqs,Small SUV,7.4,2.4,2.9,15.6,,,,,7.0,12.0,1.3,,3.0,0,2.7,16.0,3.5,6.0,5,7.2,11.9,8,19.9,5.5,,,,,,,,,,,,,,,,
"Volvo XC60 D4 AWD Momentum, LHD",- 5 door SUV,2017,1873kg,- all XC60'S,Large SUV,7.8,2.8,3.0,16.0,,,,,7.0,12.0,2.5,,3.0,2.9,3,17.3,2.6,6.0,5,7.6,15.9,8,23.9,6.0,,,,,,,,,,,,,,,,
"Opel Karl 1.0 'Enjoy', LHD",- 5 door hatchback,2017,920kg,- all Karls,City and Supermini,7.4,1.6,0.0,8.0,,,,,4.0,7.5,0,,3.0,0,0,15.9,2.6,6.0,3,6.5,10.4,8,18.4,0.0,,,,,,,,,,,,,,,,
"Opel/Vauxhall Crossland X 1.2 'Edition', LHD",- 5 door SUV,2017,1163kg,- all Crossland X,Small MPV,7.6,1.6,0.0,16.0,,,,,6.0,11.3,2.3,,3.0,1.7,0,16.0,4.2,6.0,5,7.4,15.9,8,23.9,0.0,,,,,,,,,,,,,,,,
"Mitsubishi Eclipse Cross 1.5 'Invite, 4x2, LHD",- 5 door SUV,2017,1425kg,- all Eclipse Cross,Small SUV,8,2.7,3.0,16.0,,,,,6.0,11.3,1.5,,3.0,1.5,2.5,18.1,5.9,6.0,5,7.3,13,8,21.0,3.7,,,,,,,,,,,,,,,,
"Citroën C3 Aircross Feel Puretech 82, LHD",- 5 door MPV,2017,1126kg,- all C3 Aircross,Small MPV,7.8,1.6,0.0,15.5,,,,,6.0,11.3,2.5,,3.0,1.7,0,15.6,5.4,6.0,5,7.7,15.3,8,23.3,0.0,,,,,,,,,,,,,,,,
"DS 7 Crossback BlueHDi 1,5l Manual 6 'Be Chic', LHD",- 5 door SUV,2017,1420kg,- all DS 7 Crossbacks,Small SUV,7.6,2.5,2.6,14.5,,,,,7.0,12.0,2.5,,3.0,1.7,2,14.0,6.0,6.0,5,7.8,16,8,24.0,4.8,,,,,,,,,,,,,,,,
"SEAT Arona 1.0 'Excellence', LHD",- 5 door hatchback,2017,1112kg,- all Aronas,Small SUV,7.5,2.3,3.0,15.6,,,,,7.0,12.0,1.5,,3.0,0,2.8,16.6,4.7,6.0,5,7.7,13.4,7,20.4,5.2,,,,,,,,,,,,,,,,
"Mercedes-Benz X 250d 'POWER', LHD",- 4 door double cab,2017,2252kg,- all X-Class,Pickup Truck,6.3,1.7,3.0,15.9,,,,,9.0,11.5,2.0,,3.0,1.7,2.6,16.7,6.0,5.9,5,7.6,14.5,8,22.5,5.5,,,,,,,,,,,,,,,,
"Citroën e-Mehari, LHD",- 3 door hatchback,2017,1483kg,- all e-Meharis,Small Family Car,6.2,1.0,0.0,13.3,,,,,4.0,11.3,0,,3.0,0,0,9.3,6.0,5.0,3,7.8,15.1,8,23.1,0.0,,,,,,,,,,,,,,,,
"Jaguar E-Pace 2.0 diesel R Dynamic 'SE', RHD",- 5 door SUV,2017,1867kg,- all E-Paces,Small SUV,5.3,1.6,2.8,15.8,,,,,7.0,12.0,1.3,,3.0,1.9,2.6,19.6,3.3,5.7,5,7.5,16,8,24.0,3.8,,,,,,,,,,,,,,,,
"Subaru XV 2.0i-S EyeSight, LHD",- 5 door hatchback,2017,1462kg,- all XVs,Small Family Car,7.8,2.4,3.0,15.8,,,,,9.0,12.0,0,,3.0,2.7,2.6,18.9,5.2,6.0,5,6.8,15,8,23.0,5.3,,,,,,,,,,,,,,,,
"Subaru Impreza 2.0i-S EyeSight, LHD",- 5 door hatchback,2017,1462kg,"- all Imprezas, including e-Boxer",Small Family Car,7.8,2.4,3.0,15.8,,,,,9.0,12.0,0,,3.0,2.7,2.6,19.6,3.8,6.0,5,6.8,15,8,23.0,5.3,,,,,,,,,,,,,,,,
"Porsche Cayenne 3.0 diesel, LHD",- 5 door SUV,2017,2169kg,- all Cayennes,Large SUV,7.2,2.6,3.0,16.0,,,,,7.0,12.0,1.8,,3.0,0,2.8,19.2,0.0,6.0,5,7.5,12.6,8,20.6,5.6,,,,,,,,,,,,,,,,
"Honda Civic 1.0 SE, RHD",- 5 door hatchback,2017,1292kg,"- all Civics built after 25th Sept 2017, from SHHFK6**0HU014114 and SHHFK7**0HU011421",Small Family Car,7.1,1.7,3.0,16.0,,,,,7.0,12.0,2.3,,3.0,2.7,2.7,15.0,6.0,6.0,5,7.2,11.7,6.2,17.9,4.6,,,,,,,,,,,,,,,,
"Alfa Romeo Giulietta1.6 Mjet 'Super', LHD",- 5 door hatchback,2017,1355kg,- all Giuliettas,Small Family Car,7.2,1.7,0.0,13.0,,,,,0.0,7.5,0,,3.0,0,0,13.6,5.4,6.0,3,5.7,12,8,20.0,0.0,,,,,,,,,,,,,,,,
"Toyota Aygo 1.0 x-play, LHD",- 5 door hatchback,2017,910kg,- JTDKGNEC60N317420,City and Supermini,6.3,2.2,0.0,16.0,,,,,6.0,12.0,0,,3.0,0,0,16.3,4.7,6.0,3,3.8,6.2,7,13.2,0.0,,,,,,,,,,,,,,,,
"Toyota Aygo 1.0 x-play, LHD",- 5 door hatchback,2017,910kg,"- JTDKGNEC60N317420, with 'Toyota Safety Sense'",City and Supermini,6.3,2.2,2.9,16.0,,,,,6.0,12.0,0,,3.0,1.5,2.4,16.3,4.7,6.0,4,3.8,6.2,7,13.2,0.0,Toyota Safety Sense,,,,,,,,,,,,,,,
Toyota Yaris Hybrid,- 5 door hatchback,2017,1155kg,-,City and Supermini,6,2.6,2.9,14.3,,,,,6.0,11.3,0,,3.0,1.5,2.4,16.7,4.0,6.0,5,5.8,15.4,6.9,22.3,0.0,,,,,,,,,,,,,,,,
"Kia Stinger 2.2 CRDi, GT-Line, LHD",- 5 door fastback,2017,1806kg,- all Stingers,Executive Car,7.7,2.0,3.0,15.8,,,,,7.0,12.0,2.5,,2.0,2.8,2.6,17.4,5.5,5.6,5,7,12.7,8,20.7,4.5,,,,,,,,,,,,,,,,
"Kia Rio 1.2 GLS, LHD",- 5 door hatchback,2017,1070kg,- all Stonics,Small Family Car,6.8,2.0,0.0,16.0,,,,,7.0,11.8,0,,3.0,0,0,14.0,6.0,6.0,3,7.6,14.4,8,22.4,0.0,,,,,,,,,,,,,,,,
"Kia Rio 1.2 GLS, LHD",- 5 door hatchback,2017,1070kg,- all Stonics with 'Advanced Driving Assistance Pack',Small Family Car,6.8,2.0,3.0,16.0,,,,,7.0,11.8,0,,3.0,1.5,2.6,14.0,6.0,6.0,5,7.6,14.4,8,22.4,3.8,Advanced Driving Assistance Pack,,,,,,,,,,,,,,,
"Hyundai KONA 1.0 T-GDI, LHD",- 5 door SUV,2017,1365kg,- all KONAs,Small SUV,7.9,2.2,0.0,15.4,,,,,7.0,11.5,1.5,,3.0,2.7,0,14.5,5.9,6.0,5,8,15.9,7.3,23.3,0.0,,,,,,,,,,,,,,,,
MG ZS,- 5 door SUV,2017,1204kg,- all ZSs,Small Family Car,6.1,1.3,0.0,16.0,,,,,5.0,10.5,1.5,,2.0,0,0,17.0,2.1,6.0,3,3.9,5.6,4,9.6,0.0,,,,,,,,,,,,,,,,
"Jaguar F-Pace 20d AWD, RHD",- 5 door SUV,2017,1874kg,- all F-Paces,Small SUV,7.4,1.9,2.9,16.0,,,,,7.0,12.0,1.3,,3.0,2.0,2.5,17.5,4.4,6.0,5,7.2,15,8,23.0,6.0,,,,,,,,,,,,,,,,
FIAT Punto 1.2 6v 65 CV E4 5p Easy,- 5 door hatchback,2017,1030kg,- all Puntos,Small Family Car,6,0.8,0.0,6.7,,,,,0.0,4.3,0,,0.0,0,0,10.8,6.0,5.4,0,6.1,12,5.2,17.2,0.0,,,,,,,,,,,,,,,,
"DS 3 1,2 Puretech 82 So Chic",- 3 door hatchback,2017,1084kg,- all DS 3s,City and Supermini,6.8,1.5,2.5,15.0,,,,,0.0,7.0,1.5,,2.0,0,0,11.5,6.0,6.0,3,3.1,7.6,4,11.6,0.0,,,,,,,,,,,,,,,,
"Dacia Duster 1.5 diesel, LHD",- 5 door SUV,2017,1303kg,- all Dusters,Small SUV,6.4,1.6,0.0,15.7,,,,,4.0,5.3,1.5,,3.0,0,0,11.6,6.0,6.0,3,3.4,15.1,8,23.1,0.0,,,,,,,,,,,,,,,,
"Ford Grand C-MAX 1.5 diesel 'Titanium', LHD",- 5 door MPV,2017,1606kg,- WF0WXXGCEWHE77742,Small MPV,7.8,2.1,1.9,14.6,,,,,2.0,7.3,1.5,,2.0,0,0,15.9,4.3,4.8,3,2.5,12.3,8,20.3,0.0,,,,,,,,,,,,,,,,
"Ford Grand C-MAX 1.5 diesel 'Titanium', LHD",- 5 door MPV,2017,1606kg,- WF0WXXGCEWHE77742,Small MPV,7.8,2.1,1.9,14.6,,,,,2.0,7.3,1.5,,2.0,0,0,15.9,4.3,4.8,3,2.5,12.3,8,20.3,0.0,,,,,,,,,,,,,,,,
"BMW 630d GT, LHD",- 5 door estate,2017,1900kg,- all 6 Series GT,Executive Car,6.3,2.7,3.0,14.0,,,,,7.0,12.0,1.5,,3.0,0,2.6,22.8,0.0,6.0,5,7,15,8,23.0,5.3,,,,,,,,,,,,,,,,
"BMW X1 sDrive18d, LHD",- 5 door SUV,2015,1320kg,- all X1s and X2s,Small SUV,6.5,2.3,2.0,16.0,12,12,26.7,24.0,7.0,12.0,2.3,3,3.0,0,1.8,19.4,1.3,6.0,5,7.6,,,,,,,,,,,,,,,,,,,,
"Nissan LEAF 'Acenta', LHD",- 5 door hatchback,2018,1545kg,- SJNFAAZE10016713,Small Family Car,7.2,1.5,4.0,16.0,,,,,8.0,12.0,1.9,,2.5,2.5,2.4,15.1,6.0,6.0,5,6.6,14.3,8,22.3,4.0,,7.1,3.1,,,,,,,,,,,,,
Volvo XC40 D4 AWD Momentum,- 5 door SUV,2018,1680kg,"- all XC40s, including XC40 Recharge (from 2021)",Small SUV,8,1.8,4.0,16.0,,,,,7.0,12.0,2.5,,2.5,2.3,2.7,17.1,3.1,6.0,5,7.4,16,8,24.0,4.2,,8.3,4.1,,,,,,,,,,,,,
"Ford Focus 1.0 'Trend', LHD",- 5 door hatchback,2018,1312kg,- all Focus,Small Family Car,7.7,1.5,0.0,15.9,,,,,7.0,12.0,2.5,,2.5,2.3,2.6,15.9,5.8,6.0,5,7.5,16,8,24.0,5.1,,7.1,1.9,,,,,,,,,,,,,
"BMW X3 2.0d, LHD",- 5 door SUV,2017,1825kg,- all X3s and X4s,Small SUV,7.4,2.4,3.0,15.3,,,,,7.0,12.0,1.5,,3.0,0,2.5,19.5,0.0,6.0,5,7.3,14.2,8,22.2,4.0,,,,,,,,,,,,,,,,
Jimny 1.5L GLX,- 3 door hatchback,2018,1095kg,- all Jimnys,City and Supermini,4.6,1.6,0.0,16.0,,,,,6.0,12.0,1.3,,3.0,0.3,2,14.4,3.9,6.0,3,5.8,15.4,8,23.4,0.8,,0.8,,,,,,,,,,,,,,
"Audi A6 40 TDI Sportline 4x2, LHD",- 4 door saloon,2018,1682kg,- all A6s incl. PHEV (from 2021),Executive Car,7.3,1.6,3.9,15.2,,,,,7.0,12.0,1.3,,3.0,2.8,2.9,19.0,3.6,6.0,5,7.5,14.9,8,22.9,5.4,,10.3,4.9,,,,,,,,,,,,,
"Ford Tourneo Connect 1.5 diesel 'Titanium', LHD",- 5 door MPV,2018,1690kg,- all short wheelbase Tourneo Connects,Small MPV,7.2,1.6,4.0,16.0,,,,,7.0,12.0,2.5,,2.5,2.3,2.6,14.9,4.4,6.0,4,6.4,12,8,20.0,3.7,,5.9,2.2,,,,,,,,,,,,,
"VW Touareg 3.0 diesel ""Elegance"", LHD",- 5 door SUV,2018,2065kg,"- all Touaregs, including PHEV (from 2021)",Large SUV,6.7,1.6,3.7,14.9,,,,,7.0,12.0,1.9,,3.0,3.3,2.4,18.5,0.8,6.0,5,7,15.4,8,23.4,4.1,,9.3,5.2,,,,,,,,,,,,,
"Mercedes-Benz A 180 d, LHD",- 5 door hatchback,2018,1445kg,"- hatchback and saloon, from WDD1770031J054450",Small Family Car,7.1,1.7,4.0,15.9,,,,,9.0,12.0,3.0,,2.5,2.0,2.4,20.4,6.0,6.0,5,7.8,16,8,24.0,5.8,,11.8,6.0,,,,,,,,,,,,,
"Mazda6 2.2 diesel 'Core', LHD",- 5 door estate,2018,1577kg,- all Mazda 6's,Large Family Car,7.5,1.8,4.0,16.0,,,,,9.0,12.0,2.4,,2.5,2.0,2.6,20.0,1.0,6.0,5,6.8,16,8,24.0,4.8,,4.8,,,,,,,,,,,,,,
"Hyundai NEXO GL, LHD",- 5 door SUV,2018,1814kg,- all NEXOs,Large SUV,6.7,1.5,4.0,16.0,,,,,7.0,12.0,1.7,,2.8,3.5,2.5,20.2,0.0,6.0,5,7.7,16,8,24.0,4.3,,6.1,1.8,,,,,,,,,,,,,
"Lexus ES 300h 'Comfort', RHD",- 4 door saloon,2018,1740kg,- all ES,Large Family Car,7.5,1.6,4.0,15.0,,,,,7.0,12.0,2.4,,3.0,2.3,2.4,20.3,6.0,6.0,5,6.6,16,8,24.0,6.0,,11.3,5.3,,,,,,,,,,,,,
"Peugeot Rifter BlueHDi 100 Allure, LHD",- 5 door MPV,2018,1510kg,"- all Rifters, including e-Rifter",Small MPV,7,1.7,3.4,15.6,,,,,7.0,9.0,2.3,,1.9,3.3,1.5,12.7,6.0,6.0,4,7.2,15.8,8,23.8,3.6,,3.6,,,,,,,,,,,,,,
"Peugeot Rifter BlueHDi 100 Allure, LHD",- 5 door MPV,2018,1510kg,- all Combos including Combo-e Life,Small MPV,7,1.7,3.4,15.6,,,,,7.0,9.0,2.3,,1.9,3.3,1.5,12.7,6.0,6.0,4,7.2,15.8,8,23.8,3.6,,3.6,,,,,,,,,,,,,,
"Peugeot Rifter BlueHDi 100 Allure, LHD",- 5 door MPV,2018,1510kg,"- all Berlingos, including ë-Berlingo",Small MPV,7,1.7,3.4,15.6,,,,,7.0,9.0,2.3,,1.9,3.3,1.5,12.7,6.0,6.0,4,7.2,15.8,8,23.8,3.6,,3.6,,,,,,,,,,,,,,
"Audi Q3 2.0 TDI, 4x4, LHD",- 5 door SUV,2018,1646kg,"- all Q3s, including Sportback variants",Small SUV,6.9,1.7,4.0,16.0,,,,,7.0,12.0,1.3,,3.0,4.0,2.9,15.8,4.8,6.0,5,7.7,15.5,8,23.5,5.3,,10.1,4.8,,,,,,,,,,,,,
"BMW X5 xDrive30d, LHD",- 5 door SUV,2018,2185kg,- All X5,Large SUV,5.8,1.6,4.0,15.2,,,,,7.0,11.7,2.8,,2.5,1.8,2.8,18.3,0.0,5.9,5,7.5,15.9,8,23.9,6.0,,12.0,6.0,,,,,,,,,,,,,
"FIAT Panda Easy 1.2 Fire, LHD",- 5 door hatchback,2018,940kg,- all Pandas,City and Supermini,5.7,1.1,0.0,6.4,,,,,1.0,7.0,0,,1.0,0,0,12.9,5.6,4.5,0,4.2,0,0,0.0,,,/,,,,,,,,,,,,,,
Jeep Wrangler Sahara 4-Door Unlimited,- 5 seat,2018,2089kg,- all Wranglers,Large SUV,3.9,1.7,0.0,8.0,,,,,6.0,7.5,1.3,,3.0,0,0,13.4,6.0,4.5,1,5.7,13.7,7.1,20.8,,,0.0,,,,,,,,,,,,,,
I-PACE SE EV400,- 5 door hatchback,2018,2180kg,- all I Pace,Executive Car,5.8,1.4,4.0,16.0,,,,,7.0,12.0,2.5,,2.5,3.0,2.6,16.7,5.3,6.0,5,7.6,13,8,21.0,4.3,,7.3,2.9,,,,,,,,,,,,,
"Peugeot 508 BlueHDi 1.5, LHD",- 5 door sedan,2018,1434kg,- all 508 and 508SW,Large Family Car,7.3,1.7,4.0,16.0,,,,,7.0,12.0,2.5,,2.5,3.3,2.1,16.7,4.3,6.0,5,7.6,15.4,8,23.4,3.2,,7.6,4.4,,,,,,,,,,,,,
"Hyundai Santa Fe 2.2CRDi, LHD",- 5 door SUV,2018,1950kg,- all Santa Fe,Large SUV,7.9,1.3,4.0,14.8,,,,,8.0,12.0,1.3,,2.9,3.3,2.5,15.1,5.0,5.3,5,7.8,15.2,8,23.2,4.1,,6.8,2.7,,,,,,,,,,,,,
Volvo V60 D4 Momentum,- 5 door estate,2018,1844kg,- all V60s,Large Family Car,7.3,1.9,4.0,15.8,,,,,6.0,11.3,2.5,,2.5,2.3,2.8,17.7,3.2,6.0,5,7.6,16,8,24.0,4.6,,8.9,4.3,,,,,,,,,,,,,
Volvo V60 D4 Momentum,- 5 door estate,2018,1844kg,- all S60s,Large Family Car,7.3,1.9,4.0,15.8,,,,,6.0,11.3,2.5,,2.5,2.3,2.8,17.7,3.2,6.0,5,7.6,16,8,24.0,4.6,,8.9,4.3,,,,,,,,,,,,,
"Mercedes-Benz E 220 d Avantgarde, LHD",- 4 door saloon,2016,1680kg,- all E-Class and CLS-Class variants,Executive Car,7.3,2.5,3.0,15.9,,,,,9.0,12.0,1.5,,3.0,0,2.9,22.2,0.1,6.0,5,7.5,15.6,8,23.6,4.2,,,,,,,,,,,,,,,,
